point_id,sensor_id,depth_cm,sample_time,location,farm_id,VWC,Temperature,Dielectric Constant,Apparent EC,Pore Water EC,sensor_SN,height,farm_code,pH,AP,NH₄⁺-N,AK,merged,merged_at,updated_at,grinding_storage_location,grinding_storage_status,grinding_storage_time,original_storage_location,original_storage_status,original_storage_time,chi2_merged,chi2_merged_at,min_chi2_merged,min_chi2_merged_at
1,001-A,26-00-01-098,2025-05-09 10:44:20,"{'type': 'Point', 'coordinates': [120.296492, 49.458458]}",Hulunbuir_TNH_0,22.5,27.2,12.0,130.0,1274.0,014AcclimaTR310N3.217009934,696.0,150725NK0106037,6.54,20.388,2.182,24.667,True,2025-11-10 03:26:30.466,2025-11-10 03:13:37.883,X01B0801020106,已入库,2025-10-22 09:59:45.063,X01A0801020106,已入库,2025-10-22 09:59:45.058,True,2025-11-10 03:29:16.773,True,2025-11-10 05:47:20.311
2,002-A,26-00-01-099,2025-05-09 10:46:15,"{'type': 'Point', 'coordinates': [120.298725, 49.458853]}",Hulunbuir_TNH_0,24.7,26.6,13.3,138.0,1179.0,014AcclimaTR310N3.217009934,691.6,150725NK0106037,6.44,8.969,11.25,15.441,True,2025-11-10 03:26:30.481,2025-11-10 03:13:37.888,X01B0801020107,已入库,2025-10-22 09:59:45.071,X01A0801020107,已入库,2025-10-22 09:59:45.068,True,2025-11-10 03:29:16.773,True,2025-11-10 05:47:20.311
3,003-A,26-00-01-100,2025-05-09 10:49:45,"{'type': 'Point', 'coordinates': [120.301053, 49.45926]}",Hulunbuir_TNH_0,32.5,26.1,18.4,217.0,1192.0,014AcclimaTR310N3.217009934,0.0,150725NK0106037,6.36,12.112,7.636,30.667,True,2025-11-10 03:26:30.496,2025-11-10 03:13:37.893,X01B0801020108,已入库,2025-10-22 09:59:45.079,X01A0801020108,已入库,2025-10-22 09:59:45.076,True,2025-11-10 03:29:16.773,True,2025-11-10 05:47:20.311
4,004-A,26-00-01-101,2025-05-09 10:53:59,"{'type': 'Point', 'coordinates': [120.303168, 49.459623]}",Hulunbuir_TNH_0,33.5,23.9,19.2,241.0,1255.0,014AcclimaTR310N3.217009934,681.7,150725NK0106037,6.02,11.298,10.313,29.412,True,2025-11-10 03:26:30.516,2025-11-10 03:13:37.898,X01B0801020109,已入库,2025-10-22 09:59:45.093,X01A0801020109,已入库,2025-10-22 09:59:45.086,True,2025-11-10 03:29:16.773,True,2025-11-10 05:47:20.311
5,005-A,26-00-01-102,2025-05-09 10:58:21,"{'type': 'Point', 'coordinates': [120.3042, 49.459342]}",Hulunbuir_TNH_0,36.4,21.4,21.6,550.0,2487.0,014AcclimaTR310N3.217009934,679.2,150725NK0106037,6.0,13.362,6.909,28.0,True,2025-11-10 03:26:30.531,2025-11-10 03:13:37.904,X01B0801020110,已入库,2025-10-22 09:59:45.105,X01A0801020110,已入库,2025-10-22 09:59:45.101,True,2025-11-10 03:29:16.773,True,2025-11-10 05:47:20.311
6,006-A,26-00-01-103,2025-05-09 11:02:27,"{'type': 'Point', 'coordinates': [120.302397, 49.459028]}",Hulunbuir_TNH_0,26.3,21.1,14.2,154.0,1188.0,014AcclimaTR310N3.217009934,0.0,150725NK0106037,6.57,23.511,20.625,8.824,True,2025-11-10 03:26:30.547,2025-11-10 03:13:37.916,X01B0801020111,已入库,2025-10-22 09:59:45.120,X01A0801020111,已入库,2025-10-22 09:59:45.114,True,2025-11-10 03:29:16.773,True,2025-11-10 05:47:20.311
7,007-A,26-00-01-104,2025-05-09 11:05:59,"{'type': 'Point', 'coordinates': [120.300516, 49.458695]}",Hulunbuir_TNH_0,30.5,21.2,17.0,236.0,1438.0,014AcclimaTR310N3.217009934,0.0,150725NK0106037,6.99,25.56,9.818,14.667,True,2025-11-10 03:26:30.563,2025-11-10 03:13:37.924,X01B0801040305,已入库,2025-10-22 09:59:46.320,X01A0801040305,已入库,2025-10-22 09:59:46.318,True,2025-11-10 03:29:16.773,True,2025-11-10 05:47:20.311
8,008-A,26-00-01-105,2025-05-09 11:09:36,"{'type': 'Point', 'coordinates': [120.29857, 49.458353]}",Hulunbuir_TNH_0,30.0,22.3,16.6,207.0,1298.0,014AcclimaTR310N3.217009934,0.0,150725NK0106037,6.99,16.183,6.818,17.647,True,2025-11-10 03:26:30.579,2025-11-10 03:13:37.930,X01B0801020112,已入库,2025-10-22 09:59:45.130,X01A0801020112,已入库,2025-10-22 09:59:45.127,True,2025-11-10 03:29:16.773,True,2025-11-10 05:47:20.311
9,009-A,26-00-01-106,2025-05-09 11:12:38,"{'type': 'Point', 'coordinates': [120.296653, 49.458012]}",Hulunbuir_TNH_0,30.1,22.8,16.6,209.0,1307.0,014AcclimaTR310N3.217009934,695.4,150725NK0106037,6.99,18.75,5.517,23.333,True,2025-11-10 03:26:30.594,2025-11-10 03:13:37.935,X01B0801020113,已入库,2025-10-22 09:59:45.144,X01A0801020113,已入库,2025-10-22 09:59:45.141,True,2025-11-10 03:29:16.773,True,2025-11-10 05:47:20.311
10,010-A,26-00-01-107,2025-05-09 11:16:00,"{'type': 'Point', 'coordinates': [120.296868, 49.457582]}",Hulunbuir_TNH_0,32.0,23.6,18.1,236.0,1327.0,014AcclimaTR310N3.217009934,696.1,150725NK0106037,6.65,14.542,5.0,50.735,True,2025-11-10 03:26:30.608,2025-11-10 03:13:37.942,X01B0801020114,已入库,2025-10-22 09:59:45.152,X01A0801020114,已入库,2025-10-22 09:59:45.149,True,2025-11-10 03:29:16.773,True,2025-11-10 05:47:20.311
