point_id,sensor_id,depth_cm,sample_time,location,farm_id,VWC,Temperature,Dielectric Constant,Apparent EC,Pore Water EC,sensor_SN,height,farm_code,pH,AP,NH₄⁺-N,AK,merged,merged_at,updated_at,grinding_storage_location,grinding_storage_status,grinding_storage_time,original_storage_location,original_storage_status,original_storage_time,chi2_merged,chi2_merged_at,min_chi2_merged,min_chi2_merged_at
1,001-A,26-00-01-046,2025-05-08 10:26:28,"{'type': 'Point', 'coordinates': [120.298283, 49.454065]}",Hulunbuir_TNH_0,24.8,18.6,13.3,191.0,1618.0,014AcclimaTR310N3.217010003,699.4,150725NK0106049,6.01,11.121,10.0,16.667,True,2025-11-10 03:26:29.670,2025-11-10 03:13:37.533,X01B0801010108,已入库,2025-10-22 09:59:44.704,X01A0801010108,已入库,2025-10-22 09:59:44.701,True,2025-11-10 03:29:16.773,True,2025-11-10 05:47:20.311
2,002-A,26-00-01-047,2025-05-08 10:29:42,"{'type': 'Point', 'coordinates': [120.299842, 49.454399]}",Hulunbuir_TNH_0,25.2,20.7,13.5,196.0,1619.0,014AcclimaTR310N3.217010003,0.0,150725NK0106049,6.02,4.847,5.313,0.0,True,2025-11-10 03:26:29.687,2025-11-10 03:13:37.543,X01B0801010109,已入库,2025-10-22 09:59:44.714,X01A0801010109,已入库,2025-10-22 09:59:44.712,True,2025-11-10 03:29:16.773,True,2025-11-10 05:47:20.311
3,003-A,26-00-01-048,2025-05-08 10:34:05,"{'type': 'Point', 'coordinates': [120.301618, 49.454833]}",Hulunbuir_TNH_0,19.4,20.0,10.3,115.0,1385.0,014AcclimaTR310N3.217010003,0.0,150725NK0106049,6.07,8.793,7.636,61.667,True,2025-11-10 03:26:29.701,2025-11-10 03:13:37.549,X01B0801010110,已入库,2025-10-22 09:59:44.720,X01A0801010110,已入库,2025-10-22 09:59:44.718,True,2025-11-10 03:29:16.773,True,2025-11-10 05:47:20.311
4,004-A,26-00-01-049,2025-05-08 10:37:45,"{'type': 'Point', 'coordinates': [120.303217, 49.455187]}",Hulunbuir_TNH_0,28.0,20.7,15.3,225.0,1572.0,014AcclimaTR310N3.217010003,0.0,150725NK0106049,6.64,11.107,6.875,14.167,True,2025-11-10 03:26:29.716,2025-11-10 03:13:37.555,X01B0801010111,已入库,2025-10-22 09:59:44.725,X01A0801010111,已入库,2025-10-22 09:59:44.723,True,2025-11-10 03:29:16.773,True,2025-11-10 05:47:20.311
5,005-A,26-00-01-050,2025-05-08 10:46:58,"{'type': 'Point', 'coordinates': [120.304791, 49.455565]}",Hulunbuir_TNH_0,20.3,19.3,10.7,137.0,1556.0,014AcclimaTR310N3.217009934,0.0,150725NK0106049,6.59,12.716,11.091,13.333,True,2025-11-10 03:26:29.731,2025-11-10 03:13:37.561,X01B0801010112,已入库,2025-10-22 09:59:44.731,X01A0801010112,已入库,2025-10-22 09:59:44.729,True,2025-11-10 03:29:16.773,True,2025-11-10 05:47:20.311
6,006-A,26-00-01-051,2025-05-08 10:56:57,"{'type': 'Point', 'coordinates': [120.306375, 49.455928]}",Hulunbuir_TNH_0,30.6,20.6,17.0,190.0,1152.0,014AcclimaTR310N3.217009934,0.0,150725NK0106049,6.51,11.374,3.75,5.0,True,2025-11-10 03:26:29.752,2025-11-10 03:13:37.567,X01B0801010113,已入库,2025-10-22 09:59:44.737,X01A0801010113,已入库,2025-10-22 09:59:44.735,True,2025-11-10 03:29:16.773,True,2025-11-10 05:47:20.311
7,007-A,26-00-01-052,2025-05-08 11:00:48,"{'type': 'Point', 'coordinates': [120.30806, 49.456304]}",Hulunbuir_TNH_0,28.1,21.8,15.4,168.0,1165.0,014AcclimaTR310N3.217009934,0.0,150725NK0106049,6.36,7.5,6.909,10.833,True,2025-11-10 03:26:29.770,2025-11-10 03:13:37.573,X01B0801010114,已入库,2025-10-22 09:59:44.743,X01A0801010114,已入库,2025-10-22 09:59:44.741,True,2025-11-10 03:29:16.773,True,2025-11-10 05:47:20.311
8,008-A,26-00-01-053,2025-05-08 11:05:07,"{'type': 'Point', 'coordinates': [120.309889, 49.456667]}",Hulunbuir_TNH_0,25.8,21.8,13.9,152.0,1213.0,014AcclimaTR310N3.217009934,0.0,150725NK0106049,6.19,5.878,6.563,0.0,True,2025-11-10 03:26:29.787,2025-11-10 03:13:37.579,X01B0801010115,已入库,2025-10-22 09:59:44.753,X01A0801010115,已入库,2025-10-22 09:59:44.751,True,2025-11-10 03:29:16.773,True,2025-11-10 05:47:20.311
9,009-A,26-00-01-054,2025-05-08 11:08:43,"{'type': 'Point', 'coordinates': [120.311632, 49.457092]}",Hulunbuir_TNH_0,23.1,22.2,12.4,133.0,1251.0,014AcclimaTR310N3.217009934,0.0,150725NK0106049,6.02,8.06,11.455,112.5,True,2025-11-10 03:26:29.802,2025-11-10 03:13:37.585,X01B0801010116,已入库,2025-10-22 09:59:44.759,X01A0801010116,已入库,2025-10-22 09:59:44.757,True,2025-11-10 03:29:16.773,True,2025-11-10 05:47:20.311
10,010-A,26-00-01-055,2025-05-08 11:12:32,"{'type': 'Point', 'coordinates': [120.312382, 49.45687]}",Hulunbuir_TNH_0,21.0,23.1,11.2,114.0,1217.0,014AcclimaTR310N3.217009934,676.1,150725NK0106049,5.89,6.794,4.688,15.833,True,2025-11-10 03:26:29.816,2025-11-10 03:13:37.595,X01B0801010117,已入库,2025-10-22 09:59:44.766,X01A0801010117,已入库,2025-10-22 09:59:44.763,True,2025-11-10 03:29:16.773,True,2025-11-10 05:47:20.311
