point_id,sensor_id,depth_cm,sample_time,location,farm_id,VWC,Temperature,Dielectric Constant,Apparent EC,Pore Water EC,sensor_SN,height,farm_code,pH,AP,NH₄⁺-N,AK,merged,merged_at,updated_at,grinding_storage_location,grinding_storage_status,grinding_storage_time,original_storage_location,original_storage_status,original_storage_time,chi2_merged,chi2_merged_at,min_chi2_merged,min_chi2_merged_at
1,001-A,26-00-01-026,2025-05-07 13:07:43,"{'type': 'Point', 'coordinates': [120.299607, 49.451596]}",Hulunbuir_TNH_0,20.0,23.5,10.6,135.0,1563.0,014AcclimaTR310N3.217009934,695.64,150725NK0106062,6.81,22.543,1.091,0.0,True,2025-11-10 03:26:29.334,2025-11-10 03:13:37.408,X01B0701090306,已入库,2025-10-22 09:59:44.563,X01A0701090306,已入库,2025-10-22 09:59:44.559,True,2025-11-10 03:29:16.773,True,2025-11-10 05:47:20.311
2,002-A,26-00-01-027,2025-05-07 13:13:12,"{'type': 'Point', 'coordinates': [120.301171, 49.452017]}",Hulunbuir_TNH_0,29.7,24.3,16.4,252.0,1599.0,014AcclimaTR310N3.217009934,691.33,150725NK0106062,6.66,19.542,6.563,34.167,True,2025-11-10 03:26:29.364,2025-11-10 03:13:37.413,X01B0701090307,已入库,2025-10-22 09:59:44.576,X01A0701090307,已入库,2025-10-22 09:59:44.570,True,2025-11-10 03:29:16.773,True,2025-11-10 05:47:20.311
3,003-A,26-00-01-028,2025-05-07 13:16:08,"{'type': 'Point', 'coordinates': [120.302666, 49.452212]}",Hulunbuir_TNH_0,24.8,25.3,13.3,174.0,1468.0,014AcclimaTR310N3.217009934,688.41,150725NK0106062,6.69,22.802,8.182,14.167,True,2025-11-10 03:26:29.383,2025-11-10 03:13:37.418,X01B0701090308,已入库,2025-10-22 09:59:44.587,X01A0701090308,已入库,2025-10-22 09:59:44.585,True,2025-11-10 03:29:16.773,True,2025-11-10 05:47:20.311
4,004-A,26-00-01-029,2025-05-07 13:19:27,"{'type': 'Point', 'coordinates': [120.30419, 49.452559]}",Hulunbuir_TNH_0,25.8,26.4,13.9,184.0,1462.0,014AcclimaTR310N3.217009934,684.89,150725NK0106062,6.55,18.359,6.563,17.347,True,2025-11-10 03:26:29.400,2025-11-10 03:13:37.424,X01B0701090309,已入库,2025-10-22 09:59:44.593,X01A0701090309,已入库,2025-10-22 09:59:44.591,True,2025-11-10 03:29:16.773,True,2025-11-10 05:47:20.311
5,005-A,26-00-01-030,2025-05-07 13:22:29,"{'type': 'Point', 'coordinates': [120.305603, 49.452812]}",Hulunbuir_TNH_0,26.2,27.1,14.2,208.0,1606.0,014AcclimaTR310N3.217009934,682.98,150725NK0106062,6.62,21.724,6.364,0.0,True,2025-11-10 03:26:29.416,2025-11-10 03:13:37.430,X01B0701090310,已入库,2025-10-22 09:59:44.599,X01A0701090310,已入库,2025-10-22 09:59:44.597,True,2025-11-10 03:29:16.773,True,2025-11-10 05:47:20.311
6,006-A,26-00-01-031,2025-05-07 13:28:21,"{'type': 'Point', 'coordinates': [120.30581, 49.45235]}",Hulunbuir_TNH_0,27.6,28.3,15.0,208.0,1494.0,014AcclimaTR310N3.217009934,0.0,150725NK0106062,7.09,17.863,4.375,0.0,True,2025-11-10 03:26:29.430,2025-11-10 03:13:37.440,X01B0701090311,已入库,2025-10-22 09:59:44.605,X01A0701090311,已入库,2025-10-22 09:59:44.603,True,2025-11-10 03:29:16.773,True,2025-11-10 05:47:20.311
7,007-A,26-00-01-032,2025-05-07 13:33:53,"{'type': 'Point', 'coordinates': [120.304393, 49.452065]}",Hulunbuir_TNH_0,22.0,28.5,11.7,135.0,1363.0,014AcclimaTR310N3.217009934,0.0,150725NK0106062,7.0,21.293,5.636,0.0,True,2025-11-10 03:26:29.446,2025-11-10 03:13:37.446,X01B0701090312,已入库,2025-10-22 09:59:44.611,X01A0701090312,已入库,2025-10-22 09:59:44.609,True,2025-11-10 03:29:16.773,True,2025-11-10 05:47:20.311
8,008-A,26-00-01-033,2025-05-07 13:38:04,"{'type': 'Point', 'coordinates': [120.302849, 49.451765]}",Hulunbuir_TNH_0,21.4,28.4,11.4,153.0,1616.0,014AcclimaTR310N3.217009934,0.0,150725NK0106062,6.52,17.29,9.063,0.0,True,2025-11-10 03:26:29.467,2025-11-10 03:13:37.451,X01B0701090313,已入库,2025-10-22 09:59:44.617,X01A0701090313,已入库,2025-10-22 09:59:44.615,True,2025-11-10 03:29:16.773,True,2025-11-10 05:47:20.311
9,009-A,26-00-01-034,2025-05-07 13:42:15,"{'type': 'Point', 'coordinates': [120.301359, 49.451562]}",Hulunbuir_TNH_0,24.5,28.6,13.1,181.0,1565.0,014AcclimaTR310N3.217009934,691.48,150725NK0106062,6.43,13.103,9.636,5.833,True,2025-11-10 03:26:29.483,2025-11-10 03:13:37.458,X01B0701090314,已入库,2025-10-22 09:59:44.627,X01A0701090314,已入库,2025-10-22 09:59:44.625,True,2025-11-10 03:29:16.773,True,2025-11-10 05:47:20.311
10,010-A,26-00-01-035,2025-05-07 13:47:03,"{'type': 'Point', 'coordinates': [120.299845, 49.451188]}",Hulunbuir_TNH_0,25.0,26.4,13.4,197.0,1641.0,014AcclimaTR310N3.217009934,694.69,150725NK0106062,6.24,12.634,7.5,17.5,True,2025-11-10 03:26:29.500,2025-11-10 03:13:37.464,X01B0701090315,已入库,2025-10-22 09:59:44.633,X01A0701090315,已入库,2025-10-22 09:59:44.631,True,2025-11-10 03:29:16.773,True,2025-11-10 05:47:20.311
