depth_cm,sample_time,lat,lon,pH,AP,NH₄⁺-N,AK
26-00-01-046,2025-05-08 10:26:28,49.454065,120.298283,6.01,11.121,10.0,16.667
26-00-01-047,2025-05-08 10:29:42,49.454399,120.299842,6.02,4.847,5.313,0.0
26-00-01-048,2025-05-08 10:34:05,49.454833,120.301618,6.07,8.793,7.636,61.667
26-00-01-049,2025-05-08 10:37:45,49.455187,120.303217,6.64,11.107,6.875,14.167
26-00-01-050,2025-05-08 10:46:58,49.455565,120.304791,6.59,12.716,11.091,13.333
26-00-01-051,2025-05-08 10:56:57,49.455928,120.306375,6.51,11.374,3.75,5.0
26-00-01-052,2025-05-08 11:00:48,49.456304,120.30806,6.36,7.5,6.909,10.833
26-00-01-053,2025-05-08 11:05:07,49.456667,120.309889,6.19,5.878,6.563,0.0
26-00-01-054,2025-05-08 11:08:43,49.457092,120.311632,6.02,8.06,11.455,112.5
26-00-01-055,2025-05-08 11:12:32,49.45687,120.312382,5.89,6.794,4.688,15.833
26-00-01-056,2025-05-08 11:15:56,49.456518,120.310832,5.9,7.931,6.182,15.0
26-00-01-057,2025-05-08 11:19:19,49.456128,120.309079,5.96,9.656,3.438,8.333
26-00-01-058,2025-05-08 11:23:26,49.455717,120.307279,6.39,7.371,9.818,10.0
26-00-01-059,2025-05-08 11:28:00,49.455341,120.305592,6.33,5.458,3.438,0.0
26-00-01-060,2025-05-08 11:32:20,49.454904,120.303724,6.39,8.879,4.909,39.167
26-00-01-061,2025-05-08 11:36:22,49.454488,120.301983,6.29,7.366,5.313,0.0
26-00-01-062,2025-05-08 11:41:32,49.454082,120.300195,6.17,8.879,8.364,0.0
26-00-01-063,2025-05-08 11:44:06,49.45368,120.29848,6.15,9.084,3.125,37.5
26-00-01-064,2025-05-08 13:11:30,49.453197,120.298667,6.11,9.741,5.636,0.0
26-00-01-065,2025-05-08 13:18:41,49.453646,120.300355,5.94,6.565,17.5,35.0
26-00-01-066,2025-05-08 13:24:20,49.454037,120.302236,6.25,10.086,13.273,55.0
26-00-01-067,2025-05-08 13:39:47,49.45444,120.303915,6.23,8.244,10.625,10.833
26-00-01-068,2025-05-08 13:44:32,49.454882,120.305791,6.79,12.716,14.0,37.5
26-00-01-069,2025-05-08 13:48:06,49.455261,120.307498,6.78,9.427,2.188,5.0
26-00-01-070,2025-05-08 13:52:40,49.455669,120.30927,6.72,13.319,10.364,75.833
26-00-01-071,2025-05-08 13:56:47,49.456087,120.311039,6.65,8.855,9.375,47.059
26-00-01-072,2025-05-08 14:02:55,49.456444,120.312639,6.63,14.612,6.545,1.333
26-00-01-073,2025-05-08 14:13:52,49.45603,120.312893,6.59,12.71,10.313,8.824
26-00-01-074,2025-05-08 14:18:43,49.455678,120.311315,6.48,15.0,5.455,0.0
26-00-01-075,2025-05-08 14:23:23,49.455247,120.309454,6.51,11.527,0.0,21.324
26-00-01-076,2025-05-08 14:26:56,49.454841,120.307677,6.53,13.793,6.364,9.333
26-00-01-077,2025-05-08 14:30:43,49.454449,120.305981,7.16,8.626,12.813,18.382
26-00-01-078,2025-05-08 14:35:11,49.454009,120.304085,7.08,15.776,8.0,14.667
26-00-01-079,2025-05-08 14:59:05,49.453618,120.302427,6.81,6.298,4.375,3.676
26-00-01-080,2025-05-08 15:02:40,49.453238,120.300552,6.66,23.491,7.455,5.333
26-00-01-081,2025-05-08 15:05:43,49.452801,120.298912,6.6,9.046,12.5,19.853
26-00-01-082,2025-05-08 15:09:47,49.452349,120.299114,6.34,13.19,5.091,0.667
26-00-01-083,2025-05-08 15:15:37,49.452785,120.300755,6.31,9.695,6.563,2.941
26-00-01-084,2025-05-08 15:18:43,49.453168,120.30263,6.21,9.526,9.273,8.0
26-00-01-085,2025-05-08 15:22:37,49.453554,120.304276,6.3,7.328,11.875,44.118
26-00-01-086,2025-05-08 15:26:13,49.454,120.306204,6.27,7.198,7.455,0.0
26-00-01-087,2025-05-08 15:29:31,49.45437,120.307916,6.89,10.573,10.938,0.0
26-00-01-088,2025-05-08 15:33:29,49.454775,120.309623,7.03,17.629,6.182,12.0
26-00-01-089,2025-05-08 15:37:49,49.455211,120.311538,6.94,11.183,5.625,27.941
26-00-01-090,2025-05-08 15:43:14,49.455562,120.313129,6.7,18.75,5.091,18.667
26-00-01-091,2025-05-08 15:48:08,49.455198,120.313422,6.73,13.855,6.875,19.853
26-00-01-092,2025-05-08 15:51:57,49.454844,120.311811,6.73,18.319,7.455,6.0
26-00-01-093,2025-05-08 15:57:11,49.454423,120.309777,6.63,7.366,6.875,16.912
26-00-01-094,2025-05-08 16:01:00,49.454027,120.308112,6.62,21.25,4.909,26.667
26-00-01-095,2025-05-08 16:04:38,49.453628,120.306369,6.5,13.74,3.75,8.824
26-00-01-096,2025-05-08 16:08:44,49.45318,120.304484,6.73,18.147,5.636,2.667
26-00-01-097,2025-05-08 16:13:46,49.452789,120.302831,6.65,16.87,6.0,13.971
