depth_cm,sample_time,lat,lon,pH,AP,NH₄⁺-N,AK
26-00-01-026,2025-05-07 13:07:43,49.451596,120.299607,6.81,22.543,1.091,0.0
26-00-01-027,2025-05-07 13:13:12,49.452017,120.301171,6.66,19.542,6.563,34.167
26-00-01-028,2025-05-07 13:16:08,49.452212,120.302666,6.69,22.802,8.182,14.167
26-00-01-029,2025-05-07 13:19:27,49.452559,120.30419,6.55,18.359,6.563,17.347
26-00-01-030,2025-05-07 13:22:29,49.452812,120.305603,6.62,21.724,6.364,0.0
26-00-01-031,2025-05-07 13:28:21,49.45235,120.30581,7.09,17.863,4.375,0.0
26-00-01-032,2025-05-07 13:33:53,49.452065,120.304393,7.0,21.293,5.636,0.0
26-00-01-033,2025-05-07 13:38:04,49.451765,120.302849,6.52,17.29,9.063,0.0
26-00-01-034,2025-05-07 13:42:15,49.451562,120.301359,6.43,13.103,9.636,5.833
26-00-01-035,2025-05-07 13:47:03,49.451188,120.299845,6.24,12.634,7.5,17.5
26-00-01-036,2025-05-07 13:54:10,49.450717,120.299895,6.14,13.405,6.545,48.333
26-00-01-037,2025-05-07 13:58:06,49.451007,120.301387,6.27,10.878,6.563,6.667
26-00-01-038,2025-05-07 14:01:57,49.451322,120.303076,6.03,17.198,10.364,3.333
26-00-01-039,2025-05-07 14:06:48,49.451617,120.304575,6.2,12.29,5.313,6.122
26-00-01-040,2025-05-07 14:10:45,49.451888,120.305953,6.19,10.69,3.273,0.0
26-00-01-041,2025-05-07 14:18:06,49.451336,120.306173,6.24,8.13,8.75,0.0
26-00-01-042,2025-05-07 14:22:50,49.451095,120.304772,6.24,14.138,9.091,35.833
26-00-01-043,2025-05-07 14:28:02,49.450829,120.303311,6.19,11.641,4.688,10.833
26-00-01-044,2025-05-07 14:32:12,49.450529,120.301599,6.09,15.345,6.727,33.333
26-00-01-045,2025-05-07 14:35:58,49.450298,120.300318,6.12,11.603,11.875,20.833
09-06-01-005,2025-05-08 13:44:03,49.451403,120.301829,6.78,31.156,7.052,23.438
09-06-01-006,2025-05-08 13:47:05,49.451968,120.305468,6.87,21.106,8.571,15.517
09-06-01-007,2025-05-08 13:50:16,49.452512,120.308497,6.68,19.592,7.168,41.146
09-06-01-008,2025-05-08 13:53:57,49.453116,120.311554,6.75,31.875,8.457,18.103
