ID,Class,Value,Lon,Lat
1,hotPoint,4314.2,120.302809,49.45772
2,hotPoint,4282.96,120.297326,49.458586
3,hotPoint,4315.56,120.297682,49.455836
4,hotPoint,4315.7,120.301592,49.457405
5,hotPoint,4294.37,120.302011,49.458496
6,hotPoint,4280.37,120.300018,49.457693
7,hotPoint,4334.45,120.298813,49.45794
8,hotPoint,4341.33,120.297335,49.457719
9,coldPoint,4225.68,120.304331,49.458931
10,coldPoint,4189.29,120.303058,49.45914
11,coldPoint,4221.41,120.304986,49.457244
12,coldPoint,4149.54,120.306777,49.458223
13,coldPoint,4216.45,120.3003,49.4557
14,coldPoint,4211.39,120.305043,49.456322
15,coldPoint,4210.28,120.301356,49.45639
16,coldPoint,4127.43,120.307727,49.456894
17,normalPoint,4273.66,120.298155,49.454863
18,normalPoint,4272.08,120.299382,49.456896
19,normalPoint,4254.45,120.304659,49.45808
20,normalPoint,4233.34,120.305543,49.458633
