ID,Class,Value,Lon,Lat
1,hotPoint,2125.53,120.298802,49.458388
2,hotPoint,2131.8,120.298312,49.456619
3,hotPoint,2119.11,120.298504,49.455276
4,hotPoint,2114.25,120.304117,49.456519
5,hotPoint,2107.19,120.305034,49.457256
6,hotPoint,2112.88,120.29997,49.456082
7,hotPoint,2153.15,120.305547,49.458636
8,hotPoint,2121.5,120.30213,49.455585
9,coldPoint,2064.93,120.301016,49.457886
10,coldPoint,2060.32,120.303219,49.455868
11,coldPoint,2061.37,120.299445,49.456811
12,coldPoint,2062.05,120.300627,49.456673
13,coldPoint,2047.21,120.304057,49.457954
14,coldPoint,2050.06,120.301971,49.459434
15,coldPoint,2059.34,120.302219,49.458086
16,coldPoint,1988.24,120.303933,49.459274
17,normalPoint,2103.03,120.306122,49.457995
18,normalPoint,2087.4,120.297907,49.457307
19,normalPoint,2090.74,120.303,49.458681
20,normalPoint,2082.21,120.307454,49.456815
