ID,Class,Value,Lon,Lat
1,hotPoint,161.57,120.299452,49.455511
2,hotPoint,173.27,120.305514,49.45687
3,hotPoint,180.01,120.304848,49.456276
4,hotPoint,191.84,120.298058,49.454928
5,hotPoint,173.21,120.30735,49.4577
6,hotPoint,163.97,120.306174,49.458009
7,hotPoint,173.87,120.303061,49.45675
8,hotPoint,170.01,120.302262,49.456128
9,coldPoint,112.91,120.300123,49.459073
10,coldPoint,123.54,120.297941,49.457806
11,coldPoint,127.38,120.298411,49.456962
12,coldPoint,116.29,120.296437,49.458511
13,coldPoint,120.0,120.303734,49.458819
14,coldPoint,112.69,120.302657,49.459073
15,coldPoint,116.93,120.299476,49.458064
16,coldPoint,118.02,120.301577,49.459355
17,normalPoint,138.62,120.297036,49.457176
18,normalPoint,154.06,120.30172,49.457439
19,normalPoint,147.04,120.300491,49.457142
20,normalPoint,151.56,120.303405,49.457832
