ID,Class,Value,Lon,Lat
1,hotPoint,123871.86,120.296736,49.458023
2,hotPoint,125036.85,120.297173,49.456413
3,hotPoint,123944.12,120.299078,49.45799
4,hotPoint,123494.18,120.304267,49.457994
5,hotPoint,123611.02,120.300904,49.455327
6,hotPoint,123639.87,120.297696,49.457282
7,hotPoint,123588.72,120.298418,49.455737
8,hotPoint,123504.44,120.300407,49.458232
9,coldPoint,122785.36,120.305618,49.458923
10,coldPoint,120820.63,120.306364,49.458062
11,coldPoint,122701.32,120.304033,49.456502
12,coldPoint,122570.24,120.306285,49.457067
13,coldPoint,121690.57,120.307412,49.456803
14,coldPoint,121194.52,120.301708,49.459382
15,coldPoint,120478.04,120.303327,49.459181
16,coldPoint,122793.06,120.302628,49.457136
17,normalPoint,123198.23,120.302459,49.45617
18,normalPoint,123228.8,120.297597,49.458617
19,normalPoint,122998.01,120.300622,49.457171
20,normalPoint,123186.35,120.301945,49.458041
