ID,Class,Value,Lon,Lat
1,hotPoint,4353.83,120.3121,49.457237
2,hotPoint,4369.97,120.300229,49.453532
3,hotPoint,4488.53,120.298007,49.454
4,hotPoint,4348.53,120.303244,49.454305
5,hotPoint,4380.52,120.2991,49.452414
6,hotPoint,4372.01,120.301702,49.454823
7,hotPoint,4371.24,120.300789,49.454164
8,hotPoint,4348.55,120.30689,49.456042
9,coldPoint,4322.58,120.307664,49.455316
10,coldPoint,4318.59,120.302794,49.452722
11,coldPoint,4308.47,120.305378,49.453338
12,coldPoint,4268.04,120.312951,49.455184
13,coldPoint,4319.59,120.310724,49.456005
14,coldPoint,4322.95,120.304966,49.45417
15,coldPoint,4278.47,120.311345,49.455246
16,coldPoint,4309.71,120.304046,49.452968
17,normalPoint,4326.24,120.307207,49.453738
18,normalPoint,4330.79,120.310323,49.456858
19,normalPoint,4341.76,120.305828,49.455384
20,normalPoint,4339.81,120.304271,49.455018
