ID,Class,Value,Lon,Lat
1,hotPoint,2137.9,120.300551,49.453613
2,hotPoint,2149.09,120.309022,49.456099
3,hotPoint,2129.37,120.312889,49.455998
4,hotPoint,2118.28,120.306329,49.454487
5,hotPoint,2226.09,120.29924,49.453787
6,hotPoint,2123.96,120.305045,49.45521
7,hotPoint,2118.16,120.310144,49.455861
8,hotPoint,2121.92,120.301698,49.453455
9,coldPoint,2079.85,120.308383,49.453996
10,coldPoint,2100.4,120.310464,49.454474
11,coldPoint,2092.44,120.303047,49.453299
12,coldPoint,2075.37,120.307216,49.456115
13,coldPoint,2080.2,120.304093,49.45449
14,coldPoint,2097.35,120.306354,49.453559
15,coldPoint,2103.23,120.307471,49.455268
16,coldPoint,2093.12,120.304236,49.453021
17,normalPoint,2106.67,120.305076,49.453735
18,normalPoint,2113.49,120.312581,49.455016
19,normalPoint,2108.76,120.301741,49.45251
20,normalPoint,2108.54,120.310128,49.456812
