ID,Class,Value,Lon,Lat
1,hotPoint,170.52,120.3121,49.457144
2,hotPoint,172.57,120.311221,49.454658
3,hotPoint,167.58,120.299686,49.452517
4,hotPoint,165.91,120.302707,49.452707
5,hotPoint,184.7,120.312692,49.455045
6,hotPoint,171.94,120.309798,49.454317
7,hotPoint,166.58,120.304027,49.452963
8,hotPoint,167.75,120.309352,49.455223
9,coldPoint,151.42,120.30624,49.455898
10,coldPoint,153.61,120.302053,49.454512
11,coldPoint,157.32,120.306126,49.454936
12,coldPoint,156.72,120.304566,49.454576
13,coldPoint,155.94,120.301137,49.453759
14,coldPoint,154.9,120.299429,49.453829
15,coldPoint,154.35,120.308899,49.456523
16,coldPoint,151.79,120.303524,49.455241
17,normalPoint,161.78,120.307341,49.454753
18,normalPoint,163.71,120.306403,49.454016
19,normalPoint,164.78,120.310476,49.455944
20,normalPoint,163.02,120.304894,49.453699
