ID,Class,Value,Lon,Lat
1,hotPoint,126918.22,120.300328,49.453123
2,hotPoint,126254.48,120.302358,49.454069
3,hotPoint,126187.72,120.302997,49.453288
4,hotPoint,127347.7,120.29962,49.452504
5,hotPoint,128996.7,120.298532,49.454088
6,hotPoint,125862.06,120.301593,49.452473
7,hotPoint,127306.6,120.29969,49.453887
8,hotPoint,126220.59,120.301227,49.454285
9,coldPoint,124164.09,120.313145,49.455508
10,coldPoint,124837.76,120.305332,49.455683
11,coldPoint,124706.97,120.304043,49.455363
12,coldPoint,124568.38,120.308384,49.454538
13,coldPoint,124689.83,120.310734,49.456008
14,coldPoint,124700.41,120.310065,49.455391
15,coldPoint,124727.64,120.31039,49.456874
16,coldPoint,124476.44,120.310706,49.454531
17,normalPoint,125421.62,120.305487,49.453817
18,normalPoint,125153.31,120.307585,49.455774
19,normalPoint,125183.35,120.306061,49.45492
20,normalPoint,125271.2,120.303293,49.454787
