ID,Class,Value,Lon,Lat
1,hotPoint,3964.37,120.303041,49.451964
2,hotPoint,4017.21,120.301521,49.451891
3,hotPoint,4112.78,120.299017,49.451419
4,hotPoint,3967.53,120.300656,49.450719
5,hotPoint,3993.95,120.302159,49.451132
6,hotPoint,3972.25,120.303611,49.450921
7,coldPoint,3731.61,120.30892,49.451567
8,coldPoint,3662.65,120.31255,49.453466
9,coldPoint,3646.79,120.310792,49.453244
10,coldPoint,3672.05,120.314082,49.452368
11,coldPoint,3664.04,120.309699,49.4526
12,coldPoint,3762.14,120.307914,49.453159
13,normalPoint,3921.79,120.306152,49.45204
14,normalPoint,3928.86,120.30509,49.45257
15,normalPoint,3932.02,120.304738,49.451132
