ID,Class,Value,Lon,Lat
1,hotPoint,2181.21,120.301786,49.451942
2,hotPoint,2178.72,120.304764,49.451558
3,hotPoint,2192.23,120.301406,49.450557
4,hotPoint,2227.95,120.299556,49.450886
5,hotPoint,2200.36,120.300231,49.450296
6,hotPoint,2236.11,120.300404,49.451629
7,coldPoint,2086.56,120.311605,49.451974
8,coldPoint,2077.32,120.311572,49.453812
9,coldPoint,2131.33,120.308764,49.451977
10,coldPoint,2107.05,120.310036,49.452648
11,coldPoint,2120.41,120.307572,49.45275
12,coldPoint,2090.19,120.314292,49.4537
13,normalPoint,2168.62,120.304115,49.452353
14,normalPoint,2176.04,120.305698,49.452447
15,normalPoint,2172.4,120.306787,49.451198
