ID,Class,Value,Lon,Lat
1,hotPoint,273.14,120.310345,49.453602
2,hotPoint,273.14,120.314289,49.453363
3,hotPoint,273.14,120.309088,49.452478
4,hotPoint,273.14,120.311946,49.453874
5,hotPoint,273.14,120.3131,49.453569
6,hotPoint,273.14,120.308046,49.451408
7,coldPoint,273.14,120.300246,49.451182
8,coldPoint,273.14,120.304857,49.451851
9,coldPoint,273.14,120.304078,49.452425
10,coldPoint,273.14,120.301714,49.45179
11,coldPoint,273.14,120.301628,49.451026
12,coldPoint,273.14,120.302817,49.452197
13,normalPoint,273.14,120.306895,49.452829
14,normalPoint,273.14,120.305236,49.450952
15,normalPoint,273.14,120.30054,49.450244
